@id,@longitude,@latitude,name,address,opening_hours,website,phone_number
365292857,21.4044920,41.9973251,,,,, 
365292859,21.4043619,41.9968067,,,,,
365292860,21.4052236,41.9966872,,,,, 
365292861,21.4053538,41.9972056,,,,,
365809239,21.3901379,42.0014364,,,,,
365809241,21.3900091,42.0009385,,,,,
365809242,21.3904510,42.0008754,,,,,
365809243,21.3905799,42.0013733,,,,,
365814518,21.3950133,42.0044756,,,,,
365814520,21.3949059,42.0040370,,,,,
365814521,21.3952139,42.0039954,,,,,
365814522,21.3953213,42.0044340,,,,, 
1615844916,21.3989021,42.0034268,КОСМО Тинекс,,,,
1848683423,21.4081332,42.0031317,,,,,
1848683429,21.4077567,42.0028091,,,,,
1848683443,21.4080417,42.0027694,,,,,
1848683451,21.4078482,42.0031714,,,,,
2000505737,21.3922837,42.0048803,Ramstore,Љубљанска Skopje,08:00-22:00,http://ramstore.com.mk,
3634182099,21.3904792,42.0009843,,,,,
3634182100,21.3900359,42.0010421,,,,,
3635145515,21.3914204,42.0017143,Кам маркет Тафталиџе,Лондонска бб Скопје,07:30-21:30,http://www.kam.com.mk,+389 2 3074733
3663767993,21.4152599,42.0035081,Рептил маркет,Cкoпje,07:00-21:30,,
4616754990,21.4085105,41.9972875,Рептил,Атинска,,,
4676812990,21.4001181,42.0068382,Granap 1,,,,
4732551922,21.4121462,42.0005257,Рептил,,,,
5286112857,21.4111987,42.0056203,Granap Market,,,,
5286344031,21.4120961,42.0033328,,,,,
5286344033,21.4120699,42.0032276,,,,,
5286344034,21.4123655,42.0031880,,,,,
5286344035,21.4123909,42.0032928,,,,,
5286344036,21.4123771,42.0032358,,,,,
5296310532,21.3953101,42.0043882,,,,,
5598215760,21.3930540,42.0065872,Vero,Манапо,,,
6054048690,21.4149954,41.9984569,,,,,
6054048727,21.4126908,42.0004371,,,,,
6054048729,21.4119116,41.9967281,,,,,
6054049801,21.4129384,41.9994288,,,,,
6655621425,21.4089683,41.9978906,Super Tinex,,08:00-22:00,,
1000000032490361,21.4048578,41.9970061,Веро 2,Mitropolit Teodosij Gologanov 76 Cкoпje MK,08:00-22:00,https://vero.com.mk/Marketi/Vero2,+389 2 3075747
1000000032530189,21.3902944,42.0011559,СП Маркет Тафталиџе,Московска 15 Cкoпje MK,07:00-22:00,http://www.spmarket.com.mk,+389 2 3051818
1000000032530316,21.3951135,42.0042355,Тинекс маркет,Cкoпje MK,,,
1000000174144792,21.4079449,42.0029704,Tinex,Cкoпje MK,,,
1000000547102982,21.4122303,42.0032604,ЗУР Маркет,,,,
